extension,offset,magic_number
vob,0,000001BA
mpg,0,000001BA
mpeg,0,000001BA
mpg,0,000001B3
mpeg,0,000001B3
mp4,0,6674797069736F6D
mp4,0,667479704D534E56
zlib,0,7801
lzfse,0,62767832
orc,0,4F5243
avro,0,4F626A01
rc,0,53455136
rbxl,0,3C726F626C6F7821
p25,0,65877856
obt,0,65877856
pcv,0,5555AAAA
pbt,0,785634
pdt,0,785634
pea,0,785634
peb,0,785634
pet,0,785634
pgt,0,785634
pict,0,785634
pjt,0,785634
pkt,0,785634
pmt,0,785634
ez2,0,454D5832
ez3,0,454D5533
iso,0,454D5533
luac,0,1B4C7561
alias,0,626F6F6B000000006D61726B00000000
identifier,0,5B5A6F6E655472616E736665725D
eml,0,52656365697665643A
tde,0,20020162A01EAB0702000000
kdb,0,3748030200000000583530394B4559
zst,0,28B52FFD
rs,0,5253564B44415441
sml,0,3A290A
vpk,0,3412AA55
ace,0,2A2A4143452A2A
arj,0,60EA
cab,0,49536328
??_,0,4B57414A
??_,0,535A4444
zoo,0,5A4F4F
pbm,0,50310A
pbm,0,50340A
pgm,0,50320A
pgm,0,50350A
ppm,0,50330A
ppm,0,50360A
wmf,0,D7CDC69A
xcf,0,67696D7020786366
xpm,0,2F2A2058504D202A2F
aff,0,414646
ex01,0,45564632
e01,0,455646
qcow,0,514649
flv,0,464C56
vdi,0,3C3C3C204F7261636C6520564D205669727475616C426F78204469736B20496D616765203E3E3E
vhd,0,636F6E6563746978
vhdx,0,7668647866696C65
isz,0,49735A21
daa,0,444141
evt,0,4C664C65
evtx,0,456C6646696C65
sdb,0,73646266
grp,0,504D4343
icm,0,4B434D53
dat,0,72656766
hiv,0,72656766
pst,0,2142444E
drc,0,445241434F
grib,0,47524942
grib2,0,47524942
blend,0,424C454E444552
jxl,0,0000000C4A584C200D0A870A
ttf,0,0001000000
tte,0,0001000000
dfont,0,0001000000
otf,0,4F54544F
wim,0,4D5357494D000000D000000000
swm,0,4D5357494D000000D000000000
esd,0,4D5357494D000000D000000000
slob,0,212D31534C4F421F
voc,0,437265617469766520566F6963652046696C651A1A00
au,0,2E736E64
snd,0,2E736E64
hazelrules,0,485A4C5200000018
flp,0,464C6864
flm,0,31304C46
mny,0,000100004D534953414D204461746162617365
accdb,0,000100005374616E6461726420414345204442
mdb,0,000100005374616E64617264204A6574204442
drw,0,01FF02040302
dss,0,02647373
dss,0,03647373
adx,0,0300000041505052
